OSM_ID;BUILDING;A_STRT;A_SBRB;A_HSNMBR;B_LEVELS;NAME
91645235;yes;улица Пушкина;;86;5;НКЦ
81560073;yes;улица Гаяза Исхаки;;13;;
90155344;yes;улица Чернышевского;;35;;
158175979;yes;улица Нариманова;;40Б;;
91856571;yes;площадь Свободы;;1;9;Госсовет РТ
91641029;yes;;;;;
91641079;yes;;;;2;
81560075;yes;улица Мартына Межлаука;;20А;;
228963085;yes;;;17;1;Башня Сююмбике
143057860;yes;улица Баумана;;58А;2;
81560041;yes;Лево-Булачная улица;;20;;
119437958;yes;;;;;
240476454;yes;улица Нариманова;;36;;
183461626;yes;;;;1;
186429140;yes;Астрономическая улица;;7;3;
105336355;yes;улица Щапова;;1;;Кроличья нора
105301861;yes;;;;8;
428303390;yes;;;;;
398643149;yes;улица Нариманова;;25;1;
91856469;yes;;;;3;
105301830;yes;улица Парижской Коммуны;;6;;
321420898;yes;;;;;
280851129;yes;;;;2;
90251746;yes;;;;3;
91641090;yes;Московская улица;;22А;;
92033663;yes;улица Мартына Межлаука;;22;;
367667773;yes;;;;;
103455143;yes;улица Пушкина;;40;;
103455142;yes;;;;;
225814378;yes;улица Тази Гиззата;;16/8;;
227222901;yes;улица Пушкина;;46;5;Пьер
99325983;yes;Астрономическая улица;;8/21;4;
103455150;yes;улица Пушкина;;34А;4;
280125650;yes;;;;1;
259799287;hotel;Петербургская улица;;11;5;
90178092;yes;улица Рахматуллина;;8;;
91856522;yes;улица Дзержинского;;11А;;
105301866;yes;;;;;
90155385;yes;улица Чернышевского;;33;;
402642591;yes;улица Пушкина;;;2;
104231620;yes;Кремлёвская улица;;8;;
103455145;yes;улица Пушкина;;42;;
103455109;yes;улица Пушкина;;44;;
111719052;yes;площадь Свободы;;1;9;
428303338;yes;;;;;
81559982;retail;улица Мартына Межлаука;;26;;Нереида
103455140;yes;улица Пушкина;;52;3;
91856542;yes;Кремлёвская улица;;19;;
105336348;yes;Профессорский переулок;;10А;;
90155351;yes;улица Гаяза Исхаки;;15;;
91856501;yes;улица Япеева;;2;;
90161979;yes;;;;;
90251803;yes;;;;;
103806842;yes;;;;2;
90162019;yes;Кремль;;1;;Президентский дворец
99325995;yes;Астрономическая улица;;8;2;
283930420;yes;;;;1;
91856558;yes;улица Карла Маркса;;12;2;
330049311;yes;улица Бурхана Шахиди;;7;;
260686305;yes;улица Саид-Галеева;;1А к1;;Шиномонтаж
105301844;yes;Лево-Булачная улица;;56;6;
103806851;yes;улица Пушкина;;54;3;
322508779;yes;;;;;
104639166;yes;улица Островского;;67;;
105336405;commercial;улица Некрасова;;7;;
402637563;yes;улица Галактионова;;;;
90251703;yes;улица Япеева;;9А;3;
90155407;kindergarten;Московская улица;;28А;;ДОУ №188
225814385;yes;улица Тази Гиззата;;16;;
90251726;yes;улица Япеева;;19;;
119437986;yes;Профсоюзная улица;;22;;
225812750;yes;;;;;
103806841;yes;улица Пушкина;;56;2;
105301857;yes;улица Парижской Коммуны;;4/11;;
61111619;castle_tower;;;;2;Преображенская башня
103806796;yes;;;;2;
158175983;yes;улица Нариманова;;40;;
104639152;yes;улица Островского;;65;;
186448870;yes;улица Баумана;;25;2;
91856490;yes;улица Карла Маркса;;17;2;
143057861;yes;улица Баумана;;60;2;
133487381;yes;;;;;
90162068;yes;проезд Шейнкмана;;;;
321420897;yes;улица Парижской Коммуны;;9;;
81560128;apartments;переулок Кирова;;5;;
330055889;yes;Право-Булачная улица;;47А;;
182148885;yes;улица Пушкина;;26;;
417003099;yes;;;;;
259988409;cathedral;;;2;3;Благовещенский собор
90251767;yes;Федосеевская улица;;46;;Храм св. Евдокии
322627064;apartments;улица Щапова;;4;;
401327242;yes;улица Дзержинского;;14;4;
103455146;yes;улица Галактионова;;6;;
104225074;yes;улица Щапова;;7;;
382232845;yes;улица Островского;;20;;
105336351;apartments;Профессорский переулок;;4;;
119437974;university;Профсоюзная улица;;13/16;;Институт социальных и гуманитарных знаний
103806821;yes;улица Пушкина;;56А;2;
103455136;yes;;;;;
428310021;yes;;;;2;
338932959;yes;Московская улица;;24;;
104225071;yes;улица Щапова;;5;;
91645183;yes;;;;;Хоррият
225814384;yes;;;;;
106363367;yes;Право-Булачная улица;;5;3;
479025596;yes;;;;;
103806871;yes;улица Пушкина;;58;4;
90251780;residential;улица Япеева;;13А;4;
274204999;yes;улица Бурхана Шахиди;;24;;
81560100;yes;Московская улица;;23;;
227222916;yes;улица Пушкина;;48;;
-6201661;yes;улица Баумана;;62;"2;3";
402637784;yes;улица Галактионова;;;;
90162066;yes;;;;;Экскурсионный отдел
90178085;yes;улица Рахматуллина;;8/11;;
91856585;yes;Большая Красная улица;;20;2;
90251818;yes;;;;;
104231616;yes;улица Рахматуллина;;5/13;;
99325926;yes;улица Островского;;23;3;
143566104;yes;улица Япеева;;13;2;
467596115;yes;Кремлёвская улица;;17;;
387598050;yes;;;;1;
91641030;yes;;;;;
330055892;yes;Право-Булачная улица;;47Б;;
91856468;yes;Кремлёвская улица;;21;;
103806863;yes;улица Карла Маркса;;40А;2;
275157332;yes;Астрономическая улица;;21;4;
99288835;university;улица Бутлерова;;4;3;Казанский государственный финансово-экономический институт
91856488;yes;;;;;
225814377;yes;;;;;
79073538;yes;Петербургская улица;;9;3;Детский мир
180351373;school;улица Кави Наджми;;18;;СОлНЦе
103455113;yes;улица Галактионова;;3Б;;
143566386;yes;улица Япеева;;8/9;3;
401196013;yes;улица Япеева;;;2;
133487376;yes;;;;;
81560053;yes;переулок Кирова;;4;;
91641052;yes;улица Ташаяк;;4;;
401196204;yes;улица Япеева;;;;
401196065;yes;улица Япеева;;;;
275157329;yes;Астрономическая улица;;10;2;
359226340;yes;;;;;
186117390;apartments;Профессорский переулок;;7;;
103806847;yes;;;;;
103455154;yes;улица Галактионова;;3А;;
89917228;yes;улица Карла Маркса;;33;2;Казанская Ратуша
91856648;yes;;;;;
81559986;yes;улица Габдуллы Тукая;;2/3;;
90155388;yes;;;;;
